Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2024-04-01,346.44,346.47,337.81,338.16,335.37,992200,SHW
2024-03-28,346.58,348.37,344.63,347.33,344.46,995100,SHW
2024-03-27,345.0,347.04,344.07,346.89,344.02,958500,SHW
2024-03-26,342.23,344.47,341.79,342.0,339.17,1127200,SHW
2024-03-25,341.28,342.52,340.13,342.0,339.17,1168800,SHW
2024-03-22,347.0,347.0,342.66,342.87,340.04,889300,SHW
2024-03-21,343.02,347.62,340.01,347.23,344.36,1332200,SHW
2024-03-20,337.78,342.85,336.13,341.05,338.23,1222700,SHW
2024-03-19,336.35,337.37,334.83,336.58,333.80,855800,SHW
2025-03-19,173.16,173.73,172.18,173.73,173.73,475787,ICE
2025-03-18,173.07,173.73,171.95,172.84,172.84,2995100,ICE
2025-03-17,170.93,173.67,170.12,172.82,172.82,2483400,ICE
2025-03-14,169.88,171.45,168.88,171.06,170.58,3018600,ICE
2025-03-13,169.08,171.07,168.58,169.14,168.67,2919100,ICE
2025-03-12,169.14,169.94,167.62,169.02,168.55,4066800,ICE
2025-03-11,169.04,170.35,168.2,168.36,167.89,3855700,ICE
2025-03-10,169.93,171.55,167.67,169.15,168.68,4806200,ICE
2025-03-07,169.35,170.75,167.61,170.24,169.76,3541800,ICE
2025-03-06,169.8,171.01,168.27,169.65,169.17,3104700,ICE
2025-03-05,170.0,171.96,169.35,171.61,171.13,3216500,ICE
2025-03-04,173.18,174.16,169.72,169.85,169.37,3034200,ICE
2025-03-03,172.91,175.41,172.33,173.2,172.71,3658500,ICE
2025-02-28,170.95,173.54,170.67,173.23,172.74,5508600,ICE
2025-02-27,171.17,173.52,170.38,170.84,170.36,2805700,ICE
2025-02-26,170.57,172.63,170.15,171.17,170.69,3256000,ICE
2025-02-25,169.14,171.61,168.95,171.21,170.73,3456400,ICE
2025-02-24,168.42,169.89,167.3,168.42,167.95,3467500,ICE
2025-02-21,166.73,168.49,166.34,167.87,167.40,2853100,ICE
2025-02-20,167.0,167.48,165.83,166.79,166.32,1643400,ICE
2025-02-19,166.91,167.57,166.04,166.96,166.49,2505500,ICE
2025-02-18,166.84,167.09,165.34,166.5,166.03,2230000,ICE
2025-02-14,169.78,169.78,166.68,166.71,166.24,1776100,ICE
2025-02-13,167.37,169.04,167.03,168.57,168.10,1853600,ICE
2025-02-12,165.76,166.86,164.34,166.56,166.09,2557500,ICE
2025-02-11,166.72,167.07,165.1,166.94,166.47,2168800,ICE
2025-02-10,167.31,167.75,165.77,167.12,166.65,3650200,ICE
2025-02-07,166.47,167.87,164.14,166.83,166.36,3072900,ICE
2025-02-06,165.53,169.75,164.0,167.68,167.21,4423800,ICE
2025-02-05,160.85,161.64,159.61,160.7,160.25,2971600,ICE
2025-02-04,159.6,160.88,159.16,159.32,158.87,2472400,ICE
2025-02-03,158.84,160.89,157.22,160.39,159.94,1986600,ICE
2025-01-31,159.2,161.18,158.55,159.83,159.38,2624000,ICE
2025-01-30,158.14,160.78,157.43,159.44,158.99,1941700,ICE
2025-01-29,158.58,158.86,156.94,157.22,156.78,2592800,ICE
2025-01-28,160.31,160.41,158.0,158.84,158.39,2532300,ICE
2025-01-27,157.44,160.91,157.29,160.83,160.38,3136300,ICE
2025-01-24,157.11,157.95,156.69,157.47,157.03,1944800,ICE
2025-01-23,153.89,158.63,153.29,157.68,157.24,3989100,ICE
2025-01-22,151.87,154.8,151.3,154.17,153.74,4981200,ICE
2025-01-21,149.74,151.8,149.61,151.72,151.29,4420600,ICE
2025-01-17,150.88,151.07,148.94,149.11,148.69,3364600,ICE
2025-01-16,148.42,150.25,148.0,150.23,149.81,2823400,ICE
2025-01-15,147.73,148.71,146.39,148.24,147.82,5105100,ICE
2025-01-14,144.66,145.66,144.1,145.25,144.84,3229600,ICE
2025-01-13,142.41,143.94,142.29,143.89,143.49,3358000,ICE
2025-01-10,144.79,145.48,142.45,142.8,142.40,3979400,ICE
2025-01-08,144.93,146.62,143.83,146.57,146.16,3719000,ICE
2025-01-07,146.58,147.39,145.61,146.44,146.03,3135700,ICE
2025-01-06,148.92,149.17,145.88,146.58,146.17,3742900,ICE
2025-01-03,149.38,150.0,148.73,149.84,149.42,1227600,ICE
2025-01-02,150.04,150.15,148.46,149.34,148.92,1921600,ICE
2024-12-31,149.57,150.0,148.52,149.01,148.59,1562100,ICE
2024-12-30,149.16,149.95,148.35,149.37,148.95,2444000,ICE
2024-12-27,149.88,151.35,149.53,150.32,149.90,1212400,ICE
2024-12-26,149.2,151.37,149.2,151.02,150.60,1168100,ICE
2024-12-24,150.16,150.57,149.6,150.46,150.04,1084600,ICE
2024-12-23,149.39,150.42,148.77,150.16,149.74,2853800,ICE
2024-12-20,148.35,151.34,148.0,150.31,149.89,6446800,ICE
2024-12-19,150.0,151.17,148.06,148.29,147.87,4870500,ICE
2024-12-18,152.99,154.39,149.53,149.6,149.18,4571900,ICE
2024-12-17,154.11,154.29,152.58,152.79,152.36,3634100,ICE
2024-12-16,155.53,155.78,154.36,154.58,154.15,2331500,ICE
2024-12-13,156.69,157.41,155.43,155.58,154.69,2411600,ICE
2024-12-12,158.53,158.91,156.33,156.55,155.66,2007100,ICE
2024-12-11,158.68,159.81,157.62,158.18,157.28,3249200,ICE
2024-12-10,156.08,158.76,155.77,158.41,157.51,3232300,ICE
2024-12-09,156.18,156.79,155.7,156.07,155.18,3750300,ICE
2024-12-06,157.09,157.64,155.52,155.93,155.04,3274900,ICE
2024-12-05,156.46,157.41,155.59,156.37,155.48,4459600,ICE
2024-12-04,155.71,156.87,155.32,156.1,155.21,3249100,ICE
2024-12-03,158.65,158.65,156.0,156.26,155.37,2908500,ICE
2024-12-02,160.43,160.61,157.34,158.29,157.39,4154200,ICE
2024-11-29,161.93,161.93,160.53,160.96,160.04,1439500,ICE
2024-11-27,160.8,161.99,159.99,161.19,160.27,2481600,ICE
2024-11-26,159.71,161.46,158.88,160.49,159.58,3463800,ICE
2024-11-25,160.0,160.39,158.79,159.63,158.72,3062700,ICE
2024-11-22,158.37,159.37,158.02,159.29,158.38,2080100,ICE
2024-11-21,156.7,159.04,155.51,158.35,157.45,2514300,ICE
2024-11-20,158.05,158.29,155.2,155.77,154.88,1867700,ICE
2024-11-19,157.56,158.58,156.76,157.93,157.03,2847500,ICE
2024-11-18,154.99,157.78,154.85,157.69,156.79,3973900,ICE
2024-11-15,155.79,156.96,155.13,155.55,154.66,2795400,ICE
2024-11-14,155.65,157.66,155.52,156.47,155.58,2550100,ICE
2024-11-13,156.83,157.1,155.5,155.84,154.95,2040000,ICE
2024-11-12,157.68,157.68,155.92,156.06,155.17,2047500,ICE
2024-11-11,158.78,159.81,156.68,157.08,156.19,3079900,ICE
2024-11-08,157.52,159.04,156.4,156.42,155.53,4946600,ICE
2024-11-07,156.06,156.46,155.16,156.11,155.22,2431800,ICE
2024-11-06,160.26,160.61,152.32,155.79,154.90,6013200,ICE
2024-11-05,154.87,157.91,154.7,157.85,156.95,2192000,ICE
2024-11-04,155.51,156.07,154.04,154.49,153.61,2540800,ICE
2024-11-01,153.48,156.36,153.2,154.64,153.76,4510300,ICE
2024-10-31,159.32,159.59,153.95,155.87,154.98,8152800,ICE
2024-10-30,166.76,167.99,166.38,166.53,165.58,2726300,ICE
2024-10-29,165.62,167.16,165.57,166.72,165.77,3430500,ICE
2024-10-28,166.38,166.95,165.76,166.44,165.49,2708600,ICE
2024-10-25,167.27,167.64,165.23,165.31,164.37,2994100,ICE
2024-10-24,165.29,167.55,164.78,166.9,165.95,4889900,ICE
2024-10-23,165.62,166.03,163.97,165.0,164.06,4461800,ICE
2024-10-22,165.25,166.67,165.0,165.94,165.00,2120800,ICE
2024-10-21,165.73,166.63,165.59,166.34,165.39,2354300,ICE
2024-10-18,165.0,167.06,164.4,166.83,165.88,2310800,ICE
2024-10-17,166.19,166.29,164.79,164.81,163.87,2145600,ICE
2024-10-16,164.19,165.33,163.32,165.13,164.19,1735500,ICE
2024-10-15,165.91,167.23,164.91,165.18,164.24,2621800,ICE
2024-10-14,162.48,164.75,162.28,164.38,163.44,2743000,ICE
2024-10-11,161.39,162.82,160.73,162.57,161.64,2609400,ICE
2024-10-10,161.67,161.94,159.81,160.65,159.74,1734600,ICE
2024-10-09,162.0,162.85,161.7,161.74,160.82,1808500,ICE
2024-10-08,160.94,162.25,160.39,162.09,161.17,2006500,ICE
2024-10-07,162.22,162.54,159.23,159.54,158.63,2688600,ICE
2024-10-04,163.57,164.18,162.48,162.76,161.83,2233000,ICE
2024-10-03,161.14,163.35,160.68,163.26,162.33,2585800,ICE
2024-10-02,160.52,161.15,159.62,160.92,160.00,1982900,ICE
2024-10-01,161.07,162.12,159.32,161.14,160.22,3076900,ICE
2024-09-30,158.95,160.78,158.22,160.64,159.73,1760300,ICE
2024-09-27,158.27,159.29,157.74,158.62,157.72,3329500,ICE
2024-09-26,159.57,160.32,157.85,158.12,157.22,3239900,ICE
